image_id,version,ssim,psnr,mse
000000000036,v6,0.465173,14.7904,0.033186
000000000113,v6,0.437461,14.5271,0.035261
000000262235,v6,0.484672,16.9667,0.020106
000000525732,v6,0.535926,13.5938,0.043714
